Front,Back
What is CSS?,"Cascading Style Sheets: Language for styling web pages (colors, layouts, etc.)"
CSS Syntax,"selector { property: value; } (e.g., h1 { color: blue; })"
Ways to Add CSS,"1. Inline (style=''), 2. Internal (<style> tag), 3. External (.css file linked with <link>)"
CSS Selectors,"Type (div), Class (.class), ID (#id), Universal (*), Attribute ([type='text'])"
Combinators,"Descendant (space), Child (>), Adjacent Sibling (+), General Sibling (~)"
Pseudo-classes,":hover, :active, :focus, :nth-child(), :not(), :first-child"
Pseudo-elements,"::before, ::after, ::first-line, ::selection (style parts of elements)"
CSS Specificity,"Calculation: Inline(1000) > ID(100) > Class(10) > Element(1) (e.g., #nav .item = 110)"
Box Model,"Content > Padding > Border > Margin (box-sizing: border-box includes padding/border in width)"
Display Property,"block, inline, inline-block, flex, grid, none (controls layout behavior)"
Positioning,"static, relative, absolute, fixed, sticky (position: absolute is relative to nearest positioned parent)"
Z-index,"Controls stacking order (higher values appear on top, requires position)"
Flexbox Container,"display: flex; flex-direction, justify-content, align-items, flex-wrap"
Flexbox Items,"flex-grow, flex-shrink, flex-basis, order, align-self"
CSS Grid Container,"display: grid; grid-template-columns/rows, gap, justify/align-items"
Grid Items,"grid-column/row-start/end, grid-area, justify/align-self"
Media Queries,"@media (max-width: 600px) { ... } (responsive design breakpoints)"
Viewport Units,"vw (width), vh (height), vmin, vmax (relative to viewport size)"
CSS Variables,":root { --color: red; } Use: color: var(--color); (custom properties)"
Transitions,"transition: property duration timing-function delay (e.g., transition: all 0.3s ease)"
Transforms,"transform: translate(), rotate(), scale(), skew() (2D/3D transformations)"
Animations,"@keyframes name { from{} to{} } + animation: name duration timing-function..."
Gradients,"linear-gradient(direction, color1, color2), radial-gradient()"
Shadows,"box-shadow: h-offset v-offset blur spread color, text-shadow: similar"
Filters,"filter: blur(), grayscale(), brightness(), contrast(), drop-shadow()"
Overflow,"overflow: visible, hidden, scroll, auto (handles content outside box)"
Object-fit,"cover, contain, fill (controls how images/videos fit containers)"
CSS Units,"px, em, rem, %, vh/vw, ch, ex (relative vs absolute units)"
Font Properties,"font-family, size, weight, style, variant, line-height"
Text Properties,"text-align, decoration, transform, indent, shadow, overflow-wrap"
Background Properties,"background-color, image, repeat, position, size, attachment"
Border Properties,"border: width style color, border-radius, border-image"
CSS Reset,"* { margin: 0; padding: 0; box-sizing: border-box; } (normalize defaults)"
BEM Methodology,"Block__Element--Modifier (naming convention for maintainable CSS)"
CSS Preprocessors,"Sass (variables, nesting, mixins), Less, Stylus (compile to CSS)"
CSS Frameworks,"Bootstrap, Tailwind CSS, Bulma (pre-designed components)"
CSS Architecture,"SMACSS, ITCSS (scalable/maintainable CSS patterns)"
CSS-in-JS,"Styled-components, Emotion (write CSS in JavaScript)"
Feature Queries,"@supports (display: grid) { ... } (check browser support)"
CSS Counters,"counter-reset, counter-increment, counter() (numbered elements)"
Clip-path,"clip-path: circle(), polygon() (create custom shapes)"
Masking,"mask-image, mask-mode (hide portions of elements)"
Blend Modes,"mix-blend-mode, background-blend-mode (e.g., multiply, screen)"
Scroll Snap,"scroll-snap-type, scroll-snap-align (controlled scrolling)"
CSS Custom Properties,"Dynamic variables (e.g., --primary-color: #3498db;)"
CSS Logical Properties,"inline-start, inline-end (RTL/LTR support)"
CSS Scrollbars,"::-webkit-scrollbar { ... } (customize scrollbars)"
CSS Viewport,"@viewport { width: device-width; } (mobile optimization)"
CSS Containment,"contain: layout paint size (performance optimization)"
CSS Houdini,"Low-level APIs to extend CSS (Paint API, Animation Worklet)"
