Front,Back
What is Tailwind?,"Utility-first CSS framework for rapid UI development (no prebuilt components)"
Core Philosophy,"Composable utility classes instead of semantic CSS (e.g., 'flex' vs 'navbar')"
Installation,"npm install -D tailwindcss + npx tailwindcss init (or CDN for quick tests)"
Configuration File,"tailwind.config.js - defines colors, fonts, breakpoints, plugins etc."
Content Configuration,"content: [] specifies files to scan for class purging (JIT mode)"
Utility-First Approach,"Small single-purpose classes (e.g., 'bg-blue-500 p-4 rounded-lg')"
Responsive Design,"Prefix utilities with breakpoint: 'md:text-center' (sm, md, lg, xl, 2xl)"
Mobile-First,"Unprefixed utilities apply to all screens, prefixed override larger breakpoints"
Dark Mode,"'dark:' prefix (e.g., 'dark:bg-gray-800'), configure in tailwind.config.js"
Hover/Focus States,"'hover:' 'focus:' prefixes (e.g., 'hover:bg-red-600')"
Customizing Colors,"Extended in config: colors: { brand: { 500: '#0F9D58' } }"
Color Opacity,"Use slash notation: 'bg-red-500/50' (50% opacity)"
Spacing Scale,"Based on rem: '0', 'px', '0.5'-'96' (e.g., 'p-4' = 1rem, 'm-2' = 0.5rem)"
Padding/Margin,"'p{t/r/b/l/x/y}-{size}' (e.g., 'pt-4', 'mx-auto'), negative values with '-'"
Width/Height,"'w-{size}'/'h-{size}': 'full', 'screen', arbitrary: 'w-[200px]'"
Min/Max Width/Height,"'min-w-{size}', 'max-h-{size}' (e.g., 'min-w-full')"
Flexbox,"'flex', 'flex-row/col', 'flex-wrap', 'justify-{start/center/end/between/around}'"
Flex Items,"'items-{start/center/end/baseline/stretch}', 'self-*', 'flex-{grow/shrink}'"
Grid Layout,"'grid', 'grid-cols-{n}', 'grid-rows-{n}', 'gap-{size}'"
Grid Placement,"'col-span-{n}', 'row-start-{n}', 'place-items-{value}'"
Positioning,"'static', 'relative', 'absolute', 'fixed', 'sticky' + inset utilities"
Z-Index,"'z-{0-50}' (e.g., 'z-10'), 'z-auto'"
Typography,"'text-{size}', 'font-{weight}', 'leading-{line-height}', 'text-{alignment}'"
Text Colors,"'text-{color}-{shade}' (e.g., 'text-gray-700'), 'text-transparent'"
Backgrounds,"'bg-{color}', 'bg-gradient-to-{r/t/l/b/tr/etc.}', 'bg-cover/contain'"
Borders,"'border', 'border-{t/r/b/l}', 'border-{color}', 'border-{width}'"
Border Radius,"'rounded-{size}', 'rounded-{tl/tr/etc.}-{size}' (e.g., 'rounded-t-lg')"
Box Shadow,"'shadow-{sm/md/lg/xl/2xl/none}', 'shadow-{color}' (e.g., 'shadow-lg')"
Opacity,"'opacity-{0-100}' (e.g., 'opacity-75')"
Transforms,"'scale-{size}', 'rotate-{deg}', 'translate-{x/y}-{size}' (e.g., 'rotate-45')"
Transitions,"'transition', 'duration-{time}', 'ease-{type}', 'delay-{time}'"
Animations,"'animate-{spin/ping/bounce/etc.}', customize via config"
Filters,"'filter', 'blur-{size}', 'brightness-{value}', 'contrast-{value}'"
Custom Classes,"'@layer utilities' in CSS to create new utility classes"
Arbitrary Values,"Square bracket notation: 'top-[117px]', 'bg-[#1da1f2]'"
Plugins,"Extend with plugins: npm install @tailwindcss/forms, typography etc."
Directives,"'@tailwind', '@apply', '@layer' in CSS files"
JIT Mode,"Just-in-Time compiler (default) generates styles on-demand"
Custom Screens,"screens: { 'tablet': '640px' } in config (extends breakpoints)"
Dark Mode Class,"darkMode: 'class' in config (manual toggle with 'dark' class)"
Important Utility,"Add '!' prefix: '!mt-4' (useful for overriding)"
Ring Utilities,"'ring-{width}', 'ring-{color}' for focus outlines (replaces 'outline')"
Aspect Ratio,"'aspect-{square/video/auto}' (e.g., 'aspect-video' for 16:9)"
Container,"'container' centers content with max-width at breakpoints"
Columns,"'columns-{n}' for multi-column text (e.g., 'columns-2')"
Scroll Behavior,"'scroll-smooth', 'scroll-auto' for HTML element"
Scroll Margin/Padding,"'scroll-mt-{size}', 'scroll-p-{size}' for anchor links"
Accent Color,"'accent-{color}' for form controls (checkboxes/radios)"
Cursor,"'cursor-{type}' (e.g., 'cursor-pointer', 'cursor-not-allowed')"
Pointer Events,"'pointer-events-{none/auto}' control interaction behavior"
Resize,"'resize', 'resize-{x/y/none}' for textareas"
User Select,"'select-{none/text/all/auto}' control text selection"
Fill/Stroke,"'fill-{color}', 'stroke-{color}' for SVGs"
Screen Readers,"'sr-only' hides visually but keeps for screen readers"
Group Utilities,"'group' parent + 'group-hover:' to style children on hover"
Peer Utilities,"'peer' sibling + 'peer-checked:' for adjacent sibling styling"
Custom Animations,"Define keyframes in config: keyframes: { spin: { to: { transform: 'rotate(360deg)' } } }"
